reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality
MEU 201708 EC,REG,CENTCOM-EC,2017-08-20,2018-03-19,2,3,1,10
MEU 201802 WC,REG,CENTCOM-WC,2018-02-20,2018-11-19,2,3,1,10
MEU 201810 EC,REG,CENTCOM-EC,2018-10-20,2019-07-19,2,3,1,10
MEU 201906 WC,REG,CENTCOM-WC,2019-06-20,2020-03-19,2,3,1,10
MEU 202002 EC,REG,CENTCOM-EC,2020-02-20,2020-11-19,2,3,1,10
MEU 202010 WC,REG,CENTCOM-WC,2020-10-20,2021-07-19,2,3,1,10
MEU 202106 EC,REG,CENTCOM-EC,2021-06-20,2022-03-19,2,3,1,10
MEU 202202 WC,REG,CENTCOM-WC,2022-02-20,2022-11-19,2,3,1,10
MEU 202210 EC,REG,CENTCOM-EC,2022-10-20,2023-07-19,2,3,1,10
OEF 201706,REG,CENTCOM,2017-06-25,2017-12-24,2,3,1,10
OEF 201712,REG,CENTCOM,2017-12-25,2018-06-24,2,3,1,10
OEF 201806,REG,CENTCOM,2018-06-25,2018-12-24,2,3,1,10
OEF 201812,REG,CENTCOM,2018-12-25,2019-06-24,2,3,1,10
OEF 201906,REG,CENTCOM,2019-06-25,2019-12-24,2,3,1,10
OEF 201912,REG,CENTCOM,2019-12-25,2020-06-24,2,3,1,10
OEF 202006,REG,CENTCOM,2020-06-25,2020-12-24,2,3,1,10
OEF 202012,REG,CENTCOM,2020-12-15,2021-06-24,2,3,1,10
OEF 202106,REG,CENTCOM,2021-06-25,2021-12-24,2,3,1,10
OEF 202112,REG,CENTCOM,2021-12-25,2022-06-24,2,3,1,10
OEF 202206,REG,CENTCOM,2022-06-25,2022-12-24,2,3,1,10
OEF 202212,REG,CENTCOM,2022-12-25,2023-06-24,2,3,1,10
SPMAGTF I 201709,REG,CENTCOM,2017-09-15,2018-03-14,2,3,1,10
SPMAGTF I 201803,REG,CENTCOM,2018-03-15,2018-09-14,2,3,1,10
SPMAGTF I 201809,REG,CENTCOM,2018-09-15,2019-03-14,2,3,1,10
SPMAGTF I 201903,REG,CENTCOM,2019-03-15,2019-09-14,2,3,1,10
SPMAGTF I 201909,REG,CENTCOM,2019-09-15,2020-03-14,2,3,1,10
SPMAGTF I 202003,REG,CENTCOM,2020-03-15,2020-09-14,2,3,1,10
SPMAGTF I 202009,REG,CENTCOM,2020-09-15,2021-03-14,2,3,1,10
SPMAGTF I 202103,REG,CENTCOM,2021-03-15,2021-09-14,2,3,1,10
SPMAGTF I 202109,REG,CENTCOM,2021-09-15,2022-03-14,2,3,1,10
SPMAGTF I 202203,REG,CENTCOM,2022-03-15,2022-09-14,2,3,1,10
SPMAGTF I 202209,REG,CENTCOM,2022-09-15,2023-03-14,2,3,1,10
SPMAGTF II 201711,REG,AFRICOM,2017-11-01,2018-04-30,2,3,1,10
SPMAGTF II 201805,REG,AFRICOM,2018-05-01,2018-10-31,2,3,1,10
SPMAGTF II 201811,REG,AFRICOM,2018-11-01,2019-04-30,2,3,1,10
SPMAGTF II 201905,REG,AFRICOM,2019-05-01,2019-10-31,2,3,1,10
SPMAGTF II 201911,REG,AFRICOM,2019-11-01,2020-04-30,2,3,1,10
SPMAGTF II 202005,REG,AFRICOM,2020-05-01,2020-10-31,2,3,1,10
SPMAGTF II 202011,REG,AFRICOM,2020-11-01,2021-04-30,2,3,1,10
SPMAGTF II 202105,REG,AFRICOM,2021-05-01,2021-10-31,2,3,1,10
SPMAGTF II 202111,REG,AFRICOM,2021-11-01,2022-04-30,2,3,1,10
SPMAGTF II 202205,REG,AFRICOM,2022-05-01,2022-10-31,2,3,1,10
SPMAGTF II 202211,REG,AFRICOM,2022-11-01,2023-04-30,2,3,1,10
SPMAGTF III 201707,REG,PACOM,2017-07-01,2017-12-31,2,3,1,10
SPMAGTF III 201801,REG,PACOM,2018-01-01,2018-06-30,2,3,1,10
SPMAGTF III 201807,REG,PACOM,2018-07-01,2018-12-31,2,3,1,10
SPMAGTF III 201901,REG,PACOM,2019-01-01,2019-06-30,2,3,1,10
SPMAGTF III 201907,REG,PACOM,2019-07-01,2019-12-31,2,3,1,10
SPMAGTF III 202001,REG,PACOM,2020-01-01,2020-06-30,2,3,1,10
SPMAGTF III 202007,REG,PACOM,2020-07-01,2020-12-31,2,3,1,10
SPMAGTF III 202101,REG,PACOM,2021-01-01,2021-06-30,2,3,1,10
SPMAGTF III 202107,REG,PACOM,2021-07-01,2021-12-31,2,3,1,10
SPMAGTF III 202201,REG,PACOM,2022-01-01,2022-10-31,2,3,1,10
SPMAGTF III 202207,REG,PACOM,2022-07-01,2022-12-31,2,3,1,10
SPMAGTF IV 201806,REG,CENTCOM,2018-06-01,2018-11-30,2,3,1,10
SPMAGTF IV 201812,REG,CENTCOM,2018-12-01,2019-05-31,2,3,1,10
SPMAGTF IV 201906,REG,CENTCOM,2019-06-01,2019-11-30,2,3,1,10
SPMAGTF IV 201912,REG,CENTCOM,2019-12-01,2020-05-31,2,3,1,10
SPMAGTF IV 202006,REG,CENTCOM,2020-06-01,2020-11-30,2,3,1,10
SPMAGTF IV 202012,REG,CENTCOM,2020-12-01,2021-05-31,2,3,1,10
SPMAGTF IV 202106,REG,CENTCOM,2021-06-01,2021-11-30,2,3,1,10
SPMAGTF IV 202112,REG,CENTCOM,2021-12-01,2022-05-31,2,3,1,10
SPMAGTF IV 202206,REG,CENTCOM,2022-06-01,2022-11-30,2,3,1,10
SPMAGTF IV 202212,REG,CENTCOM,2022-12-01,2023-05-31,2,3,1,10
UDP 201707,REG,PACOM,2017-07-10,2018-01-09,2,3,1,10
UDP 201801,REG,PACOM,2018-01-10,2018-07-09,2,3,1,10
UDP 201807,REG,PACOM,2018-07-10,2019-01-09,2,3,1,10
UDP 201901,REG,PACOM,2019-01-10,2019-07-09,2,3,1,10
UDP 201907,REG,PACOM,2019-07-10,2020-01-09,2,3,1,10
UDP 202001,REG,PACOM,2020-01-10,2020-07-09,2,3,1,10
UDP 202007,REG,PACOM,2020-07-10,2021-01-09,2,3,1,10
UDP 202101,REG,PACOM,2021-01-10,2021-07-09,2,3,1,10
UDP 202107,REG,PACOM,2021-07-10,2022-01-09,2,3,1,10
UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10
UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10
FOREIGN AID 201806,REG,PACOM,2018-06-22,2019-01-24,2,3,1,5
JADE SWORD 201810,REG,CENTCOM,2018-10-06,2019-04-06,2,4,1,5
FOREIGN AID 201910,REG,CENTCOM,2019-10-11,2020-05-04,2,4,1,5
ARCTIC CHILL 201904,REG,AFRICOM,2019-04-29,2019-11-13,2,3,1,5
FOREIGN AID 202007,REG,PACOM,2020-07-22,2021-02-02,2,4,1,5
THUNDER X 202011,REG,CENTCOM,2020-11-26,2021-05-25,2,3,1,5
JADE SWORD 202102,REG,CENTCOM,2021-02-27,2021-08-29,2,4,1,5
ALLIED HOPE 201708,REG,CENTCOM,2021-08-15,2022-01-14,2,4,1,5
COMBINED EFFORT 201808,REG,PACOM,2018-08-25,2019-02-23,2,5,1,5
SOUTHERN BLITZ 201907,REG,AFRICOM,2019-07-20,2020-01-14,2,3,1,5
THUNDER Y 202009,REG,CENTCOM,2020-09-05,2020-12-13,2,5,1,5
COMBINED EFFORT 202108,REG,CENTCOM,2021-08-08,2022-02-18,2,3,1,5
